Question ID,Category,Question,Vendor Response
V-001,Company Information,What is the legal name of your organization?,Wazuh Inc.
V-002,Company Information,Where is your company headquartered?,"San Francisco, CA, United States"
V-003,Company Information,How many employees does your organization have?,87 full-time employees
V-004,Company Information,How long has your organization been in business?,Founded 2022
V-005,Company Information,Describe the service you are providing to CloudVault Financial.,"Managed Wazuh SIEM-as-a-Service. We deploy, manage, and maintain Wazuh infrastructure for security monitoring, threat detection, and compliance reporting."
V-006,Company Information,What is the deployment model for your service?,"Multi-tenant SaaS hosted on AWS (us-east-1 and eu-west-1)"
V-007,Company Information,Do you have a dedicated security team?,Yes. Our security team consists of 4 full-time security engineers and a CISO.
V-008,Company Information,Who is your CISO or equivalent security leader?,"Marcus Chen, CISO. 15 years experience in cloud security."
V-009,Compliance and Certifications,Do you have a SOC 2 Type II report?,We achieved SOC 2 Type II certification in 2025. Our report was audited by A-LIGN and covers security, confidentiality, and availability. Report available under NDA.
V-010,Compliance and Certifications,Can you provide a copy of your most recent SOC 2 report?,SOC 2 Type I report is available under NDA. Contact security@wazuh.com.
V-011,Compliance and Certifications,Do you hold ISO 27001 certification?,Not at this time. We are evaluating ISO 27001 for 2027.
V-012,Compliance and Certifications,Are you FedRAMP authorized?,No. FedRAMP authorization is not on our current roadmap.
V-013,Compliance and Certifications,Do you comply with GDPR requirements?,Yes. We maintain a Data Processing Agreement and comply with GDPR requirements for EU customers.
V-014,Compliance and Certifications,Can you provide a HIPAA Business Associate Agreement?,"Not at this time. HIPAA compliance is on our 2027 roadmap. We do not currently accept PHI, and our platform should not be used to process PHI."
V-015,Compliance and Certifications,Have you completed a third-party penetration test in the last 12 months?,"Yes. Our most recent third-party penetration test was completed in January 2026 by NCC Group. Summary report available under NDA."
V-016,Compliance and Certifications,How often do you conduct penetration tests?,Annually by a third party. We also conduct quarterly internal security assessments.
V-017,Compliance and Certifications,Do you have cyber insurance?,Yes. Cyber liability insurance with coverage up to $5M through Coalition.
